id,pe,category
1,486.0,1
6,88.0,2
8,186.0,2
9,84.0,2
10,16.0,2
11,188.0,2
12,178.0,2
13,130.0,2
14,89.0,2
15,147.0,2
24,144,2
25,118,2
49,559.0,1
