id,pe,category
6,88.0,2
7,157.0,2
8,186.0,2
9,84.0,2
10,16.0,2
11,188.0,1
14,89.0,1
15,147.0,1
17,95.0,2
18,190.0,1
19,58.0,2
20,27.0,2
21,55.0,2
22,52.0,1
23,72.0,1
