id,pe,category
2,185.0,1
3,145.0,1
6,88.0,1
7,157.0,1
9,84.0,2
10,16.0,2
11,188.0,1
12,178.0,1
13,130.0,1
14,89.0,1
15,147.0,1
16,184.0,2
24,144.0,2
25,118.0,2
26,374.0,1
27,148.0,2
28,150.0,2
29,113.0,2
30,86.0,2
31,114.0,2
32,238.0,2
33,208.0,2
34,173.0,2
35,64.0,2
43,173.0,2
44,325.0,2
46,120.0,2
