id,pe,altitude,category
12,178.0,202.2,1.0
13,130.0,148.9,1.0
14,89.0,71.8,1.0
15,147.0,180.0,1.0
24,144.0,159.3,2.0
25,118.0,131.4,2.0
26,374.0,373.0,1.0
27,148.0,71.0,2.0
28,150.0,150.0,2.0
29,113.0,130.0,2.0
30,86.0,80.0,2.0
31,114.0,125.0,2.0
32,238.0,252.0,2.0
33,208.0,224.0,2.0
34,173.0,189.1,2.0
35,64.0,71.1,2.0
36,324.0,345.0,1.0
38,247.0,240.0,1.0
39,171.0,170.0,2.0
40,300.0,300.0,1.0
41,189.0,190.0,2.0
43,173.0,184.0,1.0
44,325.0,343.0,1.0
45,316.0,292.0,1.0
46,120.0,120.0,2.0
58,96.0,90.0,2.0
59,171.0,160.0,1.0
63,106.0,100.0,2.0
64,260.0,250.0,2.0
65,127.0,130.0,2.0
66,329.0,320.0,2.0
67,194.0,190.0,2.0
68,164.0,160.0,2.0
69,175.0,170.0,2.0
70,81.0,80.0,2.0
