id,pe,altitude,category
16,184.0,198.2,1
24,144.0,159.3,1
25,118.0,131.4,2
26,374.0,373.0,1
27,148.0,140.0,1
28,150.0,150.0,1
29,113.0,130.0,1
30,86.0,80.0,1
31,114.0,125.0,2
32,238.0,252.0,1
33,208.0,224.0,1
34,173.0,189.1,1
36,324.0,345.0,1
37,478.0,480.0,1
38,247.0,240.0,1
39,171.0,170.0,2
41,189.0,190.0,1
42,329.0,330.0,1
43,173.0,184.0,1
44,325.0,343.0,1
45,316.0,292.0,2
46,120.0,120.0,2
61,78.0,80.0,1
62,106.0,100.0,2
63,106.0,100.0,2
64,260.0,250.0,2
65,127.0,130.0,2
66,329.0,320.0,2
67,194.0,190.0,2
68,164.0,160.0,2
69,175.0,170.0,2
70,81.0,80.0,1
