3.000253e+01,1.213177e+02,0
3.000552e+01,1.213169e+02,0
3.000850e+01,1.213161e+02,0
3.001149e+01,1.213153e+02,0
3.001447e+01,1.213145e+02,0
3.001746e+01,1.213138e+02,0
3.002044e+01,1.213130e+02,0
3.002343e+01,1.213122e+02,0
3.002641e+01,1.213114e+02,0
3.002940e+01,1.213106e+02,0
3.003238e+01,1.213098e+02,0
3.003537e+01,1.213090e+02,0
3.003835e+01,1.213082e+02,0
3.004134e+01,1.213074e+02,0
3.004432e+01,1.213067e+02,0
3.004731e+01,1.213059e+02,0
3.005029e+01,1.213051e+02,0
3.005328e+01,1.213043e+02,0
3.005626e+01,1.213035e+02,0
3.005925e+01,1.213027e+02,0
3.006223e+01,1.213020e+02,0
3.006522e+01,1.213012e+02,0
3.006820e+01,1.213004e+02,0
3.007119e+01,1.212997e+02,0
3.007417e+01,1.212989e+02,0
3.007716e+01,1.212981e+02,0
3.008014e+01,1.212973e+02,0
3.008313e+01,1.212966e+02,0
3.008611e+01,1.212958e+02,0
3.008910e+01,1.212951e+02,0
3.009208e+01,1.212943e+02,0
3.009507e+01,1.212935e+02,0
3.009805e+01,1.212927e+02,0
3.010103e+01,1.212920e+02,0
3.010402e+01,1.212912e+02,0
3.010700e+01,1.212904e+02,0
3.010999e+01,1.212897e+02,0
3.011297e+01,1.212889e+02,0
3.011596e+01,1.212881e+02,0
3.011895e+01,1.212874e+02,0
3.012194e+01,1.212866e+02,0
3.012493e+01,1.212858e+02,0
3.012793e+01,1.212850e+02,0
3.013092e+01,1.212842e+02,0
3.013391e+01,1.212834e+02,0
3.013690e+01,1.212826e+02,0
3.013990e+01,1.212818e+02,0
3.014289e+01,1.212810e+02,0
3.014588e+01,1.212802e+02,0
3.014887e+01,1.212794e+02,0
3.015187e+01,1.212787e+02,0
3.015486e+01,1.212779e+02,0
3.015785e+01,1.212771e+02,0
3.016085e+01,1.212763e+02,0
3.016384e+01,1.212755e+02,0
3.016683e+01,1.212747e+02,0
3.016982e+01,1.212739e+02,0
3.017281e+01,1.212731e+02,0
3.017579e+01,1.212724e+02,0
3.017878e+01,1.212716e+02,0
3.018176e+01,1.212708e+02,0
3.018475e+01,1.212700e+02,0
3.018773e+01,1.212693e+02,0
3.019071e+01,1.212685e+02,0
3.019370e+01,1.212677e+02,0
3.019668e+01,1.212669e+02,0
3.019967e+01,1.212662e+02,0
3.020265e+01,1.212654e+02,0
3.020563e+01,1.212646e+02,0
3.020862e+01,1.212638e+02,0
3.021160e+01,1.212631e+02,0
3.021458e+01,1.212623e+02,0
3.021757e+01,1.212615e+02,0
3.022055e+01,1.212607e+02,0
3.022354e+01,1.212600e+02,0
3.022652e+01,1.212592e+02,0
3.022950e+01,1.212584e+02,0
3.023249e+01,1.212576e+02,0
3.023547e+01,1.212569e+02,0
3.023846e+01,1.212561e+02,0
3.024144e+01,1.212553e+02,0
3.024443e+01,1.212545e+02,0
3.024741e+01,1.212537e+02,0
3.025040e+01,1.212529e+02,0
3.025338e+01,1.212522e+02,0
3.025637e+01,1.212514e+02,0
3.025935e+01,1.212506e+02,0
3.026234e+01,1.212498e+02,0
3.026532e+01,1.212490e+02,0
3.026831e+01,1.212482e+02,0
3.027130e+01,1.212474e+02,0
3.027422e+01,1.212467e+02,0
3.027721e+01,1.212459e+02,0
3.028019e+01,1.212451e+02,0
3.028318e+01,1.212443e+02,0
3.028616e+01,1.212435e+02,0
3.028915e+01,1.212427e+02,0
3.029213e+01,1.212419e+02,0
3.029512e+01,1.212411e+02,0
3.029810e+01,1.212403e+02,0
3.030111e+01,1.212396e+02,0
3.030411e+01,1.212388e+02,0
3.030711e+01,1.212380e+02,0
3.031011e+01,1.212372e+02,0
3.031311e+01,1.212365e+02,0
3.031612e+01,1.212357e+02,0
3.031912e+01,1.212349e+02,0
3.032212e+01,1.212341e+02,0
3.032512e+01,1.212333e+02,0
3.032812e+01,1.212326e+02,0
3.033113e+01,1.212318e+02,0
3.033413e+01,1.212310e+02,0
3.033713e+01,1.212302e+02,0
3.034013e+01,1.212294e+02,0
3.034313e+01,1.212287e+02,0
3.034614e+01,1.212279e+02,0
3.034914e+01,1.212271e+02,0
3.035213e+01,1.212263e+02,0
3.035512e+01,1.212256e+02,0
3.035810e+01,1.212248e+02,0
3.036109e+01,1.212240e+02,0
3.036407e+01,1.212232e+02,0
3.036705e+01,1.212225e+02,0
3.037004e+01,1.212217e+02,0
3.037302e+01,1.212209e+02,0
3.037601e+01,1.212201e+02,0
3.037899e+01,1.212193e+02,0
3.038197e+01,1.212186e+02,0
3.038496e+01,1.212178e+02,0
3.038794e+01,1.212170e+02,0
3.039092e+01,1.212162e+02,0
3.039391e+01,1.212155e+02,0
3.039689e+01,1.212147e+02,0
3.039987e+01,1.212139e+02,0
3.040286e+01,1.212131e+02,0
3.040584e+01,1.212124e+02,0
3.040882e+01,1.212116e+02,0
3.041181e+01,1.212108e+02,0
3.041479e+01,1.212100e+02,0
3.041778e+01,1.212093e+02,0
3.042076e+01,1.212085e+02,0
3.042375e+01,1.212077e+02,0
3.042673e+01,1.212069e+02,0
3.042972e+01,1.212061e+02,0
3.043270e+01,1.212053e+02,0
3.043569e+01,1.212045e+02,0
3.043867e+01,1.212037e+02,0
3.044166e+01,1.212029e+02,0
3.044464e+01,1.212021e+02,0
3.044763e+01,1.212014e+02,0
3.045061e+01,1.212006e+02,0
3.045360e+01,1.211998e+02,0
3.045658e+01,1.211990e+02,0
3.045957e+01,1.211982e+02,0
3.046255e+01,1.211974e+02,0
3.046554e+01,1.211966e+02,0
3.046852e+01,1.211958e+02,0
3.047151e+01,1.211950e+02,0
3.047449e+01,1.211942e+02,0
3.047748e+01,1.211935e+02,0
3.048046e+01,1.211927e+02,0
3.048346e+01,1.211919e+02,0
3.048645e+01,1.211911e+02,0
3.048944e+01,1.211903e+02,0
3.049243e+01,1.211896e+02,0
3.049542e+01,1.211888e+02,0
3.049841e+01,1.211880e+02,0
3.050141e+01,1.211872e+02,0
3.050440e+01,1.211865e+02,0
3.050739e+01,1.211857e+02,0
3.051038e+01,1.211849e+02,0
